Surname,Name,Patronymic,Gender,BirthDate,Position,City,Address,Phone,Email
Зінченко,Григорій,Богданович,Male,2008-06-17,Водій,селище Українка,"узвіз Олександра Ройтбурда, буд. 9, Фастів, 79290",522 13 05,tkachvladyslav@example.org
Зубко,Венедикт,Петрович,Male,1945-08-29,Секретар,хутір Дергачі,"вулиця Лінія 31-ша, буд. 3, Ржищів, 35590",+380 87 952-63-96,marta45@example.com
Савенко,Кирило,Євгенович,Male,1988-02-22,Електромонтажник,хутір Павлоград,"узвіз Лазурний 6-й, буд. 898 кв. 08, Старокостянтинів, 96300",070 605-61-82,anton78@example.org
Франчук,Дан,Іванович,Male,1968-09-03,Менеджер,село Тернівка,"шосе Костанді 2-й, буд. 0 кв. 73, Красилів, 54230",080 980 79 58,mazurostap@example.net
Шило,Богдан,Ярославович,Male,1993-06-28,Агроном,селище Нетішин,"провулок Балтський 4-й, буд. 788, Чернігів, 88655",+380 48 775 59 15,boryslavolifirenko@example.com
Сагаль,Яків,Олександрович,Male,1959-07-06,Гірничий інженер,село Чистякове,"вулиця Шоста, буд. 95 кв. 0, Запоріжжя, 24144",050 759-68-70,albertandrusenko@example.org
Дараган,Мирослав,Євгенович,Male,1983-03-25,Будник,селище Нетішин,"сквер Василя Берладяну, буд. 0 кв. 17, Покров, 52673",+380 48 586-00-65,xkarpenko@example.net
Рудик,Владислав,Олександрович,Male,1954-08-17,Єгер,хутір Жидачів,"проспект Вапняний 3-й, буд. 733, Канів, 96071",002 806-53-86,sviatoslava39@example.org
Яценко,Антон,Миколайович,Male,1975-02-07,Гірничий інженер,село Нетішин,"площа Архітекторська, буд. 92 кв. 5, Малин, 15801",836-44-64,dereviankopylyp@example.org
Гайда,Кирило,Дмитрович,Male,1965-12-01,Льотчик,хутір Львів,"площа Ігоря Іванова, буд. 0 кв. 6, Чернівці, 15259",+380 05 691 42 53,erikaskoryk@example.org
Гречаник,Болеслав,Максимович,Male,1943-03-21,Футболіст,місто Лохвиця,"узвіз Манежна, буд. 771 кв. 998, Тячів, 23094",093 246 09 06,iukhym47@example.com
Харченко,Кирило,Андрійович,Male,1981-09-15,Гінеколог,хутір Ланівці,"площа Проточний, буд. 0, Сновськ, 38294",089 338 74 33,viacheslav21@example.org
Філіпенко,Кирило,Юрійович,Male,1947-04-13,Інженер,хутір Гребінка,"вулиця Кедровий, буд. 6 кв. 19, Рахів, 27003",356 64 31,vashchukvalentyn@example.org
Деревʼянко,Віталій,Миколайович,Male,1968-05-30,Кухар,село Копичинці,"набережна Мирослава Скорика, буд. 14 кв. 5, Бахмач, 41664",071 916-73-22,nataliialubenets@example.org
Ґерета,Віталій,Ігорович,Male,1939-10-24,Промисловець,село Коростишів,"сквер Овідіопольський, буд. 67 кв. 026, Вилкове, 35636",+380 73 584 96 03,htymchenko@example.org
Шморгун,Леонід,Олегович,Male,1975-09-05,Мовознавець,селище Ладижин,"проспект Морська, буд. 1, Свалява, 77827",+380 (49) 809-31-96,illia32@example.net
Бабич,Степан,Григорович,Male,2007-12-25,Фізик,село Чорноморськ,"провулок Рівності 2-й, буд. 688, Ічня, 60378",+380 78 327 21 86,vitaliihabelko@example.org
Туркало,Андрій,Євгенович,Male,1965-01-11,Круп'є,селище Біла Церква,"шосе Суднобудівна, буд. 848, Приморськ, 32084",760 33 49,aronetsmariia@example.net
Рудько,Спас,Степанович,Male,1954-05-24,Режисер,місто Лубни,"проспект Шовкуненка, буд. 2 кв. 085, Карлівка, 28490",+380 (03) 547-83-28,iaroslavazaruba@example.org
Лесик,Панас,Петрович,Male,1946-03-02,Перекладач,місто Зіньків,"шосе Морехідний, буд. 9, Перевальськ, 81553",053 863-79-45,amaliia79@example.com
Яремчук,Охрім,Романович,Male,1956-03-04,Гицель,село Комарно,"парк Басейний 3-й, буд. 098 кв. 897, Джанкой, 49293",+380 61 403-93-60,herman69@example.org
Каденюк,Йосип,Максимович,Male,1983-04-22,Кушнір,селище Ялта,"узвіз Зелена гірка, буд. 259, Харцизьк, 38902",+380 94 032 32 69,bohuslav00@example.com
Титаренко,Мирослав,Володимирович,Male,1956-09-17,Мірошник,місто Лохвиця,"узвіз Студентський 3-й, буд. 56 кв. 5, Дніпро, 83451",+380 18 230 62 95,oksanamamchur@example.com
Хомик,Герман,Романович,Male,1972-12-17,Прокурор,село Армянськ,"шосе Астрономічний, буд. 408 кв. 33, Липовець, 51485",234-67-05,ielysei71@example.net
Ємельяненко,Петро,Миколайович,Male,1961-02-16,Хімік,місто Чорноморськ,"вулиця Травневий 1-й, буд. 73 кв. 3, Вашківці, 14093",032 815 73 54,larysachekaliuk@example.net
Палій,Владислав,Арсенович,Male,1995-01-06,Різноробочий,селище Любомль,"проспект Житомирський 4-й, буд. 7, Чистякове, 74081",019 981-97-77,olhaovsiienko@example.net
Шморгун,Азар,Богданович,Male,1999-03-19,Ботанік,місто Тлумач,"шосе Савранська, буд. 9, Зборів, 67431",+380 11 827 52 57,avrelii32@example.net
Адамчук,Варфоломій,Андрійович,Male,1952-02-09,Ді-джей,хутір Сколе,"площа Виїзна, буд. 940 кв. 219, Глобине, 67091",+380 71 126-36-53,mariana24@example.org
Венгринович,Степан,Ігорович,Male,1978-01-11,Стоматолог,хутір Золоте,"узвіз Український 1-й, буд. 329 кв. 81, Костянтинівка, 55206",+380 71 721-12-39,hshelest@example.net
Цісик,Нестор,Олегович,Male,1947-10-26,Гірник,хутір Радивилів,"парк Бутишів, буд. 5, Джанкой, 03717",634 74 02,hryhorii22@example.com
Гресь,Теодор,Євгенович,Male,1992-04-12,Астронавт,місто Погребище,"узвіз Партизанська, буд. 759, Збараж, 95655",+380 91 709 49 35,liubov94@example.net
Петренко,Омелян,Арсенович,Male,1968-11-21,Мікробіолог,місто Білгород-Дністровський,"вулиця Журавлина, буд. 281 кв. 837, Олевськ, 72134",+380 73 389-80-12,sofiiakonoplia@example.net
Дерегус,Хома,Олегович,Male,1966-05-30,Електромонтер,місто Хуст,"вулиця Андреєвського, буд. 5 кв. 73, Березань, 58977",440 12 21,fhaidamaka@example.com
Ісаєнко,Семен,Васильович,Male,1981-12-13,Єгер,селище Баштанка,"проспект 11-та ст. Великого Фонтану пляж, буд. 10, Южноукраїнськ, 29834",+380 (53) 844-58-61,rostyslavvasylevych@example.org
